Year,Region,group_12,group_13,group_16,group_17,Value
2020,29_reg_Kharkiv,,,,,2.4
2021,29_reg_Kharkiv,,,,,4.8
2022,29_reg_Kharkiv,,,,,
2023,29_reg_Kharkiv,,,,,
2024,29_reg_Kharkiv,,,,,
2015,30_reg_Kherson,,,,,1.8
2016,30_reg_Kherson,,,,,1.8
2017,30_reg_Kherson,,,,,2.9
2018,30_reg_Kherson,,,,,0.9
2019,30_reg_Kherson,,,,,4.2
2020,30_reg_Kherson,,,,,3.4
2021,30_reg_Kherson,,,,,1.3
2022,30_reg_Kherson,,,,,
2023,30_reg_Kherson,,,,,
2024,30_reg_Kherson,,,,,
2015,31_reg_Khmelnytskiy,,,,,1.3
2016,31_reg_Khmelnytskiy,,,,,0.5
2017,31_reg_Khmelnytskiy,,,,,1.0
2018,31_reg_Khmelnytskiy,,,,,2.1
2019,31_reg_Khmelnytskiy,,,,,0.8
2020,31_reg_Khmelnytskiy,,,,,3.0
2021,31_reg_Khmelnytskiy,,,,,4.5
2022,31_reg_Khmelnytskiy,,,,,
2023,31_reg_Khmelnytskiy,,,,,
2024,31_reg_Khmelnytskiy,,,,,
2015,32_reg_Cherkasy,,,,,1.6
2016,32_reg_Cherkasy,,,,,2.1
2017,32_reg_Cherkasy,,,,,3.6
2018,32_reg_Cherkasy,,,,,1.2
2019,32_reg_Cherkasy,,,,,2.0
2020,32_reg_Cherkasy,,,,,3.9
2021,32_reg_Cherkasy,,,,,3.0
2022,32_reg_Cherkasy,,,,,
2023,32_reg_Cherkasy,,,,,
2024,32_reg_Cherkasy,,,,,
2015,33_reg_Chernivtsi,,,,,5.1
2016,33_reg_Chernivtsi,,,,,4.4
2017,33_reg_Chernivtsi,,,,,2.6
2018,33_reg_Chernivtsi,,,,,4.7
2019,33_reg_Chernivtsi,,,,,4.7
2020,33_reg_Chernivtsi,,,,,4.6
2021,33_reg_Chernivtsi,,,,,5.4
2022,33_reg_Chernivtsi,,,,,
2023,33_reg_Chernivtsi,,,,,
2024,33_reg_Chernivtsi,,,,,
2015,34_reg_Chernihiv,,,,,1.8
2016,34_reg_Chernihiv,,,,,1.2
2017,34_reg_Chernihiv,,,,,2.8
2018,34_reg_Chernihiv,,,,,6.9
2019,34_reg_Chernihiv,,,,,4.1
2020,34_reg_Chernihiv,,,,,1.5
2021,34_reg_Chernihiv,,,,,0.8
2022,34_reg_Chernihiv,,,,,
2023,34_reg_Chernihiv,,,,,
2024,34_reg_Chernihiv,,,,,
2015,35_reg_Kyiv_city,,,,,4.7
2016,35_reg_Kyiv_city,,,,,2.4
2017,35_reg_Kyiv_city,,,,,3.8
2018,35_reg_Kyiv_city,,,,,3.8
2019,35_reg_Kyiv_city,,,,,4.5
2020,35_reg_Kyiv_city,,,,,5.8
2021,35_reg_Kyiv_city,,,,,9.6
2022,35_reg_Kyiv_city,,,,,
2023,35_reg_Kyiv_city,,,,,
2024,35_reg_Kyiv_city,,,,,
2015,city_Sevastopol,,,,,
2016,city_Sevastopol,,,,,
2017,city_Sevastopol,,,,,
2018,city_Sevastopol,,,,,
2019,city_Sevastopol,,,,,
2020,city_Sevastopol,,,,,
2021,city_Sevastopol,,,,,
2022,city_Sevastopol,,,,,
2023,city_Sevastopol,,,,,
2024,city_Sevastopol,,,,,
2015,,group_label_182,,,,
2016,,group_label_182,,,,
2017,,group_label_182,,,,0.1
2018,,group_label_182,,,,0.2
2019,,group_label_182,,,,0.0
2020,,group_label_182,,,,0.0
2021,,group_label_182,,,,0.0
2022,,group_label_182,,,,
2023,,group_label_182,,,,
2024,,group_label_182,,,,
2015,,group_label_183,,,,0.6
2016,,group_label_183,,,,0.2
2017,,group_label_183,,,,0.1
2018,,group_label_183,,,,0.1
2019,,group_label_183,,,,0.0
2020,,group_label_183,,,,0.7
2021,,group_label_183,,,,0.7
2022,,group_label_183,,,,
2023,,group_label_183,,,,
2024,,group_label_183,,,,
2015,,group_label_184,,,,1.1
2016,,group_label_184,,,,0.4
2017,,group_label_184,,,,0.4
2018,,group_label_184,,,,0.7
2019,,group_label_184,,,,0.9
2020,,group_label_184,,,,2.4
2021,,group_label_184,,,,3.1
2022,,group_label_184,,,,
2023,,group_label_184,,,,
2024,,group_label_184,,,,
2015,,group_label_185,,,,2.5
2016,,group_label_185,,,,2.3
2017,,group_label_185,,,,2.1
2018,,group_label_185,,,,1.6
2019,,group_label_185,,,,2.7
2020,,group_label_185,,,,4.1
2021,,group_label_185,,,,7.1
2022,,group_label_185,,,,
2023,,group_label_185,,,,
2024,,group_label_185,,,,
2015,,group_label_186,,,,2.9
2016,,group_label_186,,,,2.3
2017,,group_label_186,,,,3.1
2018,,group_label_186,,,,3.4
2019,,group_label_186,,,,3.9
2020,,group_label_186,,,,4.6
2021,,group_label_186,,,,5.7
2022,,group_label_186,,,,
2023,,group_label_186,,,,
2024,,group_label_186,,,,
2015,,group_label_187,,,,2.6
2016,,group_label_187,,,,1.6
2017,,group_label_187,,,,1.1
2018,,group_label_187,,,,1.4
2019,,group_label_187,,,,2.1
2020,,group_label_187,,,,3.2
2021,,group_label_187,,,,2.6
2022,,group_label_187,,,,
2023,,group_label_187,,,,
2024,,group_label_187,,,,
2015,,group_label_188,,,,4.5
2016,,group_label_188,,,,2.5
2017,,group_label_188,,,,4.2
2018,,group_label_188,,,,0.2
2019,,group_label_188,,,,1.4
2020,,group_label_188,,,,5.8
2021,,group_label_188,,,,0.0
2022,,group_label_188,,,,
2023,,group_label_188,,,,
2024,,group_label_188,,,,
2015,,,group_label_174,,,2.4
2016,,,group_label_174,,,2.0
2017,,,group_label_174,,,2.3
2018,,,group_label_174,,,2.4
2019,,,group_label_174,,,2.9
2020,,,group_label_174,,,3.6
2021,,,group_label_174,,,4.7
2022,,,group_label_174,,,
2023,,,group_label_174,,,
2024,,,group_label_174,,,
2015,,,group_label_175,,,1.8
2016,,,group_label_175,,,1.3
2017,,,group_label_175,,,1.5
2018,,,group_label_175,,,1.4
2019,,,group_label_175,,,2.0
2020,,,group_label_175,,,3.1
2021,,,group_label_175,,,4.0
2022,,,group_label_175,,,
2023,,,group_label_175,,,
2024,,,group_label_175,,,
2015,,,,group_label_189,,2.2
2016,,,,group_label_189,,1.8
2017,,,,group_label_189,,2.0
2018,,,,group_label_189,,2.1
2019,,,,group_label_189,,2.7
2020,,,,group_label_189,,3.7
2021,,,,group_label_189,,5.3
2022,,,,group_label_189,,
2023,,,,group_label_189,,
2024,,,,group_label_189,,
2015,,,,group_label_190,,1.6
2016,,,,group_label_190,,1.3
2017,,,,group_label_190,,1.5
2018,,,,group_label_190,,1.5
2019,,,,group_label_190,,1.7
2020,,,,group_label_190,,2.4
2021,,,,group_label_190,,2.2
2022,,,,group_label_190,,
2023,,,,group_label_190,,
2024,,,,group_label_190,,
2015,,,,,group_label_191,0.6
2016,,,,,group_label_191,1.1
2017,,,,,group_label_191,0.1
2018,,,,,group_label_191,1.1
2019,,,,,group_label_191,0.6
2020,,,,,group_label_191,0.7
2021,,,,,group_label_191,1.3
2022,,,,,group_label_191,
2023,,,,,group_label_191,
2024,,,,,group_label_191,
2015,,,,,group_label_192,2.0
2016,,,,,group_label_192,0.9
2017,,,,,group_label_192,0.3
2018,,,,,group_label_192,0.8
2019,,,,,group_label_192,0.1
2020,,,,,group_label_192,1.2
2021,,,,,group_label_192,3.1
2022,,,,,group_label_192,
2023,,,,,group_label_192,
2024,,,,,group_label_192,
2015,,,,,group_label_193,0.5
2016,,,,,group_label_193,1.4
2017,,,,,group_label_193,0.5
2018,,,,,group_label_193,0.2
2019,,,,,group_label_193,1.2
2020,,,,,group_label_193,2.8
2021,,,,,group_label_193,1.5
2022,,,,,group_label_193,
2023,,,,,group_label_193,
2024,,,,,group_label_193,
2015,,,,,group_label_194,1.1
2016,,,,,group_label_194,0.4
2017,,,,,group_label_194,1.6
2018,,,,,group_label_194,0.7
2019,,,,,group_label_194,1.4
2020,,,,,group_label_194,3.0
2021,,,,,group_label_194,2.1
2022,,,,,group_label_194,
2023,,,,,group_label_194,
2024,,,,,group_label_194,
2015,,,,,group_label_195,1.7
2016,,,,,group_label_195,1.7
2017,,,,,group_label_195,2.2
2018,,,,,group_label_195,2.0
2019,,,,,group_label_195,0.6
2020,,,,,group_label_195,3.1
2021,,,,,group_label_195,2.3
2022,,,,,group_label_195,
2023,,,,,group_label_195,
2024,,,,,group_label_195,
2015,,,,,group_label_196,2.1
2016,,,,,group_label_196,1.4
2017,,,,,group_label_196,1.5
2018,,,,,group_label_196,1.9
2019,,,,,group_label_196,2.0
2020,,,,,group_label_196,4.9
2021,,,,,group_label_196,4.1
2022,,,,,group_label_196,
2023,,,,,group_label_196,
2024,,,,,group_label_196,
2015,,,,,group_label_197,2.6
2016,,,,,group_label_197,1.9
2017,,,,,group_label_197,1.9
2018,,,,,group_label_197,1.5
2019,,,,,group_label_197,2.2
2020,,,,,group_label_197,1.9
2021,,,,,group_label_197,4.5
2022,,,,,group_label_197,
2023,,,,,group_label_197,
2024,,,,,group_label_197,
2015,,,,,group_label_198,2.6
2016,,,,,group_label_198,2.1
2017,,,,,group_label_198,2.9
2018,,,,,group_label_198,1.8
2019,,,,,group_label_198,3.1
2020,,,,,group_label_198,4.3
2021,,,,,group_label_198,4.6
2022,,,,,group_label_198,
2023,,,,,group_label_198,
2024,,,,,group_label_198,
2015,,,,,group_label_199,2.4
2016,,,,,group_label_199,1.6
2017,,,,,group_label_199,2.9
2018,,,,,group_label_199,3.3
2019,,,,,group_label_199,4.2
2020,,,,,group_label_199,2.9
2021,,,,,group_label_199,7.7
2022,,,,,group_label_199,
2023,,,,,group_label_199,
2024,,,,,group_label_199,
2015,,,,,group_label_200,4.4
2016,,,,,group_label_200,3.8
2017,,,,,group_label_200,3.9
2018,,,,,group_label_200,4.6
2019,,,,,group_label_200,6.9
2020,,,,,group_label_200,7.5
2021,,,,,group_label_200,10.5
2022,,,,,group_label_200,
2023,,,,,group_label_200,
2024,,,,,group_label_200,
