Year,Region,group_label_62,group_1,group_2,group_12,group_label_22,group_label_23,group_13,group_14,group_label_88,Value
2023,,,,group_label_9,,,,,,,143272
2024,,,,group_label_9,,,,,,,140508
2015,,,,group_label_8,,,,,,,22630
2016,,,,group_label_8,,,,,,,126493
2017,,,,group_label_8,,,,,,,234766
2018,,,,group_label_8,,,,,,,248691
2019,,,,group_label_8,,,,,,,251452
2020,,,,group_label_8,,,,,,,217007
2021,,,,group_label_8,,,,,,,254770
2022,,,,group_label_8,,,,,,,226166
2023,,,,group_label_8,,,,,,,225840
2024,,,,group_label_8,,,,,,,213391
2015,,,,,group_12,,,,,,
2016,,,,,group_12,,,,,,
2017,,,,,group_12,,,,,,
2018,,,,,group_12,,,,,,
2019,,,,,group_12,,,,,,
2020,,,,,group_12,,,,,,
2021,,,,,group_12,,,,,,
2022,,,,,group_12,,,,,,
2023,,,,,group_12,,,,,,
2024,,,,,group_12,,,,,,
2015,,,,,,group_label_22,,,,,
2016,,,,,,group_label_22,,,,,
2017,,,,,,group_label_22,,,,,
2018,,,,,,group_label_22,,,,,
2019,,,,,,group_label_22,,,,,
2020,,,,,,group_label_22,,,,,
2021,,,,,,group_label_22,,,,,
2022,,,,,,group_label_22,,,,,
2023,,,,,,group_label_22,,,,,
2024,,,,,,group_label_22,,,,,
2015,,,,,,,group_label_23,,,,
2016,,,,,,,group_label_23,,,,
2017,,,,,,,group_label_23,,,,
2018,,,,,,,group_label_23,,,,
2019,,,,,,,group_label_23,,,,
2020,,,,,,,group_label_23,,,,
2021,,,,,,,group_label_23,,,,
2022,,,,,,,group_label_23,,,,
2023,,,,,,,group_label_23,,,,
2024,,,,,,,group_label_23,,,,
2015,,,,,,,group_label_66,,,,41309
2016,,,,,,,group_label_66,,,,275039
2017,,,,,,,group_label_66,,,,567340
2018,,,,,,,group_label_66,,,,623842
2019,,,,,,,group_label_66,,,,623977
2020,,,,,,,group_label_66,,,,568931
2021,,,,,,,group_label_66,,,,713202
2022,,,,,,,group_label_66,,,,556548
2023,,,,,,,group_label_66,,,,563654
2024,,,,,,,group_label_66,,,,524070
2015,,,,,,,,group_13,,,
2016,,,,,,,,group_13,,,
2017,,,,,,,,group_13,,,
2018,,,,,,,,group_13,,,
2019,,,,,,,,group_13,,,
2020,,,,,,,,group_13,,,
2021,,,,,,,,group_13,,,
2022,,,,,,,,group_13,,,
2023,,,,,,,,group_13,,,
2024,,,,,,,,group_13,,,
2015,,,,,,,,group_label_67,,,28444
2016,,,,,,,,group_label_67,,,239164
2017,,,,,,,,group_label_67,,,501786
2018,,,,,,,,group_label_67,,,553301
2019,,,,,,,,group_label_67,,,558160
2020,,,,,,,,group_label_67,,,510118
2021,,,,,,,,group_label_67,,,627281
2022,,,,,,,,group_label_67,,,506914
2023,,,,,,,,group_label_67,,,508127
2024,,,,,,,,group_label_67,,,465744
2015,,,,,,,,group_label_68,,,8911
2016,,,,,,,,group_label_68,,,34126
2017,,,,,,,,group_label_68,,,69457
2018,,,,,,,,group_label_68,,,72800
2019,,,,,,,,group_label_68,,,65817
2020,,,,,,,,group_label_68,,,58813
2021,,,,,,,,group_label_68,,,85921
2022,,,,,,,,group_label_68,,,49634
2023,,,,,,,,group_label_68,,,55527
2024,,,,,,,,group_label_68,,,58326
2015,,,,,,,,,group_14,,
2016,,,,,,,,,group_14,,
2017,,,,,,,,,group_14,,
2018,,,,,,,,,group_14,,
2019,,,,,,,,,group_14,,
2020,,,,,,,,,group_14,,
2021,,,,,,,,,group_14,,
2022,,,,,,,,,group_14,,
2023,,,,,,,,,group_14,,
2024,,,,,,,,,group_14,,
2015,,,,,,,,,group_label_69,,6534
2016,,,,,,,,,group_label_69,,50898
2017,,,,,,,,,group_label_69,,78751
2018,,,,,,,,,group_label_69,,73854
2019,,,,,,,,,group_label_69,,11746
2020,,,,,,,,,group_label_69,,31528
2021,,,,,,,,,group_label_69,,49226
2022,,,,,,,,,group_label_69,,65984
2023,,,,,,,,,group_label_69,,42421
2024,,,,,,,,,group_label_69,,34387
2015,,,,,,,,,group_label_70,,3996
2016,,,,,,,,,group_label_70,,29722
2017,,,,,,,,,group_label_70,,62946
2018,,,,,,,,,group_label_70,,60437
2019,,,,,,,,,group_label_70,,58186
2020,,,,,,,,,group_label_70,,47393
2021,,,,,,,,,group_label_70,,60530
2022,,,,,,,,,group_label_70,,38011
2023,,,,,,,,,group_label_70,,40223
2024,,,,,,,,,group_label_70,,33985
2015,,,,,,,,,group_label_71,,4129
2016,,,,,,,,,group_label_71,,29671
2017,,,,,,,,,group_label_71,,72398
2018,,,,,,,,,group_label_71,,104400
2019,,,,,,,,,group_label_71,,106065
2020,,,,,,,,,group_label_71,,85575
2021,,,,,,,,,group_label_71,,98459
2022,,,,,,,,,group_label_71,,76382
2023,,,,,,,,,group_label_71,,81123
2024,,,,,,,,,group_label_71,,68639
2015,,,,,,,,,group_label_72,,369
2016,,,,,,,,,group_label_72,,2265
2017,,,,,,,,,group_label_72,,4298
2018,,,,,,,,,group_label_72,,4059
2019,,,,,,,,,group_label_72,,
2020,,,,,,,,,group_label_72,,
2021,,,,,,,,,group_label_72,,
2022,,,,,,,,,group_label_72,,
2023,,,,,,,,,group_label_72,,
2024,,,,,,,,,group_label_72,,
2015,,,,,,,,,group_label_73,,2151
2016,,,,,,,,,group_label_73,,14023
2017,,,,,,,,,group_label_73,,29338
2018,,,,,,,,,group_label_73,,25847
2019,,,,,,,,,group_label_73,,25310
2020,,,,,,,,,group_label_73,,26762
2021,,,,,,,,,group_label_73,,32023
2022,,,,,,,,,group_label_73,,38670
2023,,,,,,,,,group_label_73,,44272
2024,,,,,,,,,group_label_73,,65449
2015,,,,,,,,,group_label_74,,1181
2016,,,,,,,,,group_label_74,,10217
2017,,,,,,,,,group_label_74,,25415
2018,,,,,,,,,group_label_74,,27771
2019,,,,,,,,,group_label_74,,35938
2020,,,,,,,,,group_label_74,,45275
2021,,,,,,,,,group_label_74,,82730
2022,,,,,,,,,group_label_74,,90502
2023,,,,,,,,,group_label_74,,98783
2024,,,,,,,,,group_label_74,,89363
2015,,,,,,,,,group_label_75,,3376
2016,,,,,,,,,group_label_75,,23269
2017,,,,,,,,,group_label_75,,47308
2018,,,,,,,,,group_label_75,,36996
2019,,,,,,,,,group_label_75,,39436
2020,,,,,,,,,group_label_75,,51284
2021,,,,,,,,,group_label_75,,51625
2022,,,,,,,,,group_label_75,,24851
2023,,,,,,,,,group_label_75,,22914
2024,,,,,,,,,group_label_75,,15528
2015,,,,,,,,,group_label_76,,3130
2016,,,,,,,,,group_label_76,,18617
2017,,,,,,,,,group_label_76,,34715
2018,,,,,,,,,group_label_76,,31099
2019,,,,,,,,,group_label_76,,
2020,,,,,,,,,group_label_76,,
2021,,,,,,,,,group_label_76,,
2022,,,,,,,,,group_label_76,,
2023,,,,,,,,,group_label_76,,
2024,,,,,,,,,group_label_76,,
2015,,,,,,,,,group_label_77,,5168
2016,,,,,,,,,group_label_77,,21979
2017,,,,,,,,,group_label_77,,33562
2018,,,,,,,,,group_label_77,,50940
2019,,,,,,,,,group_label_77,,64778
2020,,,,,,,,,group_label_77,,47231
2021,,,,,,,,,group_label_77,,65339
2022,,,,,,,,,group_label_77,,34713
2023,,,,,,,,,group_label_77,,29930
2024,,,,,,,,,group_label_77,,23324
2015,,,,,,,,,group_label_78,,5997
2016,,,,,,,,,group_label_78,,43639
2017,,,,,,,,,group_label_78,,104315
2018,,,,,,,,,group_label_78,,120281
2019,,,,,,,,,group_label_78,,122853
2020,,,,,,,,,group_label_78,,107386
2021,,,,,,,,,group_label_78,,141747
2022,,,,,,,,,group_label_78,,91710
2023,,,,,,,,,group_label_78,,101400
2024,,,,,,,,,group_label_78,,101868
2015,,,,,,,,,group_label_79,,1016
2016,,,,,,,,,group_label_79,,7323
2017,,,,,,,,,group_label_79,,19861
2018,,,,,,,,,group_label_79,,27422
2019,,,,,,,,,group_label_79,,9642
2020,,,,,,,,,group_label_79,,24652
2021,,,,,,,,,group_label_79,,32918
2022,,,,,,,,,group_label_79,,27305
2023,,,,,,,,,group_label_79,,36308
2024,,,,,,,,,group_label_79,,32793
2015,,,,,,,,,group_label_80,,360
2016,,,,,,,,,group_label_80,,3163
2017,,,,,,,,,group_label_80,,6163
2018,,,,,,,,,group_label_80,,5864
2019,,,,,,,,,group_label_80,,4354
2020,,,,,,,,,group_label_80,,556
2021,,,,,,,,,group_label_80,,176
2022,,,,,,,,,group_label_80,,360
2023,,,,,,,,,group_label_80,,334
2024,,,,,,,,,group_label_80,,388
2015,,,,,,,,,group_label_81,,4249
2016,,,,,,,,,group_label_81,,20545
2017,,,,,,,,,group_label_81,,48615
2018,,,,,,,,,group_label_81,,55540
2019,,,,,,,,,group_label_81,,96305
2020,,,,,,,,,group_label_81,,51778
2021,,,,,,,,,group_label_81,,36315
2022,,,,,,,,,group_label_81,,13261
2023,,,,,,,,,group_label_81,,5566
2024,,,,,,,,,group_label_81,,4350
2015,,,,,,,,,group_label_82,,
2016,,,,,,,,,group_label_82,,
2017,,,,,,,,,group_label_82,,
2018,,,,,,,,,group_label_82,,
2019,,,,,,,,,group_label_82,,17708
2020,,,,,,,,,group_label_82,,19608
2021,,,,,,,,,group_label_82,,23039
2022,,,,,,,,,group_label_82,,15590
2023,,,,,,,,,group_label_82,,19101
2024,,,,,,,,,group_label_82,,19470
2015,,,,,,,,,group_label_83,,
2016,,,,,,,,,group_label_83,,
2017,,,,,,,,,group_label_83,,
2018,,,,,,,,,group_label_83,,
2019,,,,,,,,,group_label_83,,27043
2020,,,,,,,,,group_label_83,,24566
2021,,,,,,,,,group_label_83,,32649
2022,,,,,,,,,group_label_83,,29413
2023,,,,,,,,,group_label_83,,33126
2024,,,,,,,,,group_label_83,,26903
2015,,,,,,,,,group_label_84,,
2016,,,,,,,,,group_label_84,,
2017,,,,,,,,,group_label_84,,
2018,,,,,,,,,group_label_84,,
2019,,,,,,,,,group_label_84,,4613
2020,,,,,,,,,group_label_84,,5337
2021,,,,,,,,,group_label_84,,6426
2022,,,,,,,,,group_label_84,,4204
2023,,,,,,,,,group_label_84,,4444
2024,,,,,,,,,group_label_84,,4745
2015,,,,,,,,,group_label_85,,
